Click the link below to enter your credentials or your account will be suspended.,spam
"Earn $5,000 weekly with simple data entry work. Sign up now!",spam
"Send us a small processing fee to claim your $1,000,000 prize.",spam
Check your latest invoice by opening the attachment.,spam
We’ve hacked your device—Pay $500 in Bitcoin or your data will be leaked!,spam
Your $100 donation will save lives! Click here to send funds.,spam
Act now! Limited-time offer on high-end laptops and smartphones!,spam
Login immediately to verify your recent transactions.,spam
Lose 20 pounds in a week—No exercise needed!,spam
Join our exclusive trading program for guaranteed profits!,spam
,
,
Reminder: Our project discussion on spam detection techniques is happening Monday at 10 AM.,ham
"Hey Darrel, it’s been a while! Want to grab coffee and talk about your Naïve Bayes project?",ham
New lecture on classification algorithms is now available.,ham
Your order #12345 is on its way. Track your package here.,ham
Latest trends in AI and coding projects—read more!,ham
Your passport renewal appointment is confirmed,ham
Your monthly account statement is ready,ham
Join us for discussions on deep learning innovations.,ham
